period;format;download_path;download_mode;path;missing_symbols;inputs_folder;data_folder;ft_movimentacoes;ft_fora_do_prazo;ft_exclusoes
2020-01m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202001/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202001.txt";";&CAGEDFOR202001.txt";";&CAGEDEXC202001.txt"
2020-02m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202002/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202002.txt";";&CAGEDFOR202002.txt";";&CAGEDEXC202002.txt"
2020-03m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202003/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202003.txt";";&CAGEDFOR202003.txt";";&CAGEDEXC202003.txt"
2020-04m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202004/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202004.txt";";&CAGEDFOR202004.txt";";&CAGEDEXC202004.txt"
2020-05m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202005/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202005.txt";";&CAGEDFOR202005.txt";";&CAGEDEXC202005.txt"
2020-06m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202006/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202006.txt";";&CAGEDFOR202006.txt";";&CAGEDEXC202006.txt"
2020-07m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202007/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202007.txt";";&CAGEDFOR202007.txt";";&CAGEDEXC202007.txt"
2020-08m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202008/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202008.txt";";&CAGEDFOR202008.txt";";&CAGEDEXC202008.txt"
2020-09m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202009/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202009.txt";";&CAGEDFOR202009.txt";";&CAGEDEXC202009.txt"
2020-10m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202010/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202010.txt";";&CAGEDFOR202010.txt";";&CAGEDEXC202010.txt"
2020-11m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202011/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202011.txt";";&CAGEDFOR202011.txt";";&CAGEDEXC202011.txt"
2020-12m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2020/202012/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202012.txt";";&CAGEDFOR202012.txt";";&CAGEDEXC202012.txt"
2021-01m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202101/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202101.txt";";&CAGEDFOR202101.txt";";&CAGEDEXC202101.txt"
2021-02m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202102/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202102.txt";";&CAGEDFOR202102.txt";";&CAGEDEXC202102.txt"
2021-03m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202103/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202103.txt";";&CAGEDFOR202103.txt";";&CAGEDEXC202103.txt"
2021-04m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202104/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202104.txt";";&CAGEDFOR202104.txt";";&CAGEDEXC202104.txt"
2021-05m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202105/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202105.txt";";&CAGEDFOR202105.txt";";&CAGEDEXC202105.txt"
2021-06m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202106/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202106.txt";";&CAGEDFOR202106.txt";";&CAGEDEXC202106.txt"
2021-07m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202107/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202107.txt";";&CAGEDFOR202107.txt";";&CAGEDEXC202107.txt"
2021-08m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202108/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202108.txt";";&CAGEDFOR202108.txt";";&CAGEDEXC202108.txt"
2021-09m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202109/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202109.txt";";&CAGEDFOR202109.txt";";&CAGEDEXC202109.txt"
2021-10m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202110/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202110.txt";";&CAGEDFOR202110.txt";";&CAGEDEXC202110.txt"
2021-11m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202111/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202111.txt";";&CAGEDFOR202111.txt";";&CAGEDEXC202111.txt"
2021-12m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202112/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202112.txt";";&CAGEDFOR202112.txt";";&CAGEDEXC202112.txt"
