"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"NU_ANO_CENSO";"4.";"/*Ano do Censo*/";4;"0";5;"i";FALSE
6;"ID_MATRICULA";"8.";"/*Código único da matrícula*/";8;"0";14;"i";FALSE
15;"CO_PESSOA_FISICA";"12.";"/*Código do aluno (ID_INEP)*/";12;"0";27;"d";FALSE
28;"NU_DIA";"2.";"/*Data de nascimento do aluno - dia*/";2;"0";30;"i";FALSE
31;"NU_MES";"2.";"/*Data de nascimento do aluno - mês*/";2;"0";33;"i";FALSE
34;"NU_ANO";"4.";"/*Data de nascimento do aluno - ano*/";4;"0";38;"i";FALSE
39;"NU_IDADE_REFERENCIA";"3.";"/*Idade do aluno no mês de referência do Censo Escolar (31 de maio)*/";3;"0";42;"i";FALSE
43;"NU_IDADE";"3.";"/*Idade calculada pelo ano de nascimento do aluno*/";3;"0";46;"i";FALSE
47;"NU_DURACAO_TURMA";"4.";"/*Tempo de permanência na turma da matrícula do aluno - minutos*/";4;"0";51;"i";FALSE
52;"NU_DUR_ATIV_COMP_MESMA_REDE";"4.";"/*Tempo de permanência (em minutos) na turma de atividade complementar na mesma rede da turma de escolarização 2,3*/";4;"0";56;"i";FALSE
57;"NU_DUR_ATIV_COMP_OUTRAS_REDES";"4.";"/*Tempo de permanência (em minutos) na turma de atividade complementar em outras redes 2,3*/";4;"0";61;"i";FALSE
62;"NU_DUR_AEE_MESMA_REDE";"4.";"/*Tempo de permanência (em minutos) na turma de atendimento educacional especializado (AEE) na mesma rede da turma de escolarização 2,3*/";4;"0";66;"i";FALSE
67;"NU_DUR_AEE_OUTRAS_REDES";"4.";"/*Tempo de permanência (em minutos) na turma de atendimento educacional especializado (AEE) em outras redes 2,3*/";4;"0";71;"i";FALSE
72;"NU_DIAS_ATIVIDADE";"1.";"/*Número de dias por semana em que são realizadas as atividades da turma*/";1;"0";73;"i";FALSE
74;"TP_SEXO";"1.";"/*Sexo*/";1;"0";75;"i";FALSE
76;"TP_COR_RACA";"1.";"/*Cor/raça*/";1;"0";77;"i";FALSE
78;"TP_NACIONALIDADE";"1.";"/*Nacionalidade*/";1;"0";79;"i";FALSE
80;"CO_PAIS_ORIGEM";"3.";"/*Código País de origem*/";3;"0";83;"i";FALSE
84;"CO_UF_NASC";"2.";"/*Código UF de nascimento*/";2;"0";86;"i";FALSE
87;"CO_MUNICIPIO_NASC";"7.";"/*Código Município de nascimento*/";7;"0";94;"i";FALSE
95;"CO_UF_END";"2.";"/*Código UF de residência*/";2;"0";97;"i";FALSE
98;"CO_MUNICIPIO_END";"7.";"/*Código Município de residência*/";7;"0";105;"i";FALSE
106;"TP_ZONA_RESIDENCIAL";"1.";"/*Localização/Zona de residência*/";1;"0";107;"i";FALSE
108;"TP_OUTRO_LOCAL_AULA";"1.";"/*Recebe escolarização em outro espaço (diferente da escola)*/";1;"0";109;"i";FALSE
110;"IN_TRANSPORTE_PUBLICO";"1.";"/*Transporte escolar público*/";1;"0";111;"i";FALSE
112;"TP_RESPONSAVEL_TRANSPORTE";"1.";"/*Poder público responsável pelo transporte escolar*/";1;"0";113;"i";FALSE
114;"IN_TRANSP_VANS_KOMBI";"1.";"/*Tipo de veículo utilizado no transporte escolar - Rodoviário (Vans/VW Kombi)*/";1;"0";115;"i";FALSE
116;"IN_TRANSP_MICRO_ONIBUS";"1.";"/*Tipo de veículo utilizado no transporte escolar - Rodoviário (Micro-ônibus)*/";1;"0";117;"i";FALSE
118;"IN_TRANSP_ONIBUS";"1.";"/*Tipo de veículo utilizado no transporte escolar - Rodoviário (Ônibus)*/";1;"0";119;"i";FALSE
120;"IN_TRANSP_BICICLETA";"1.";"/*Tipo de veículo utilizado no transporte escolar - Rodoviário (Bicicleta)*/";1;"0";121;"i";FALSE
122;"IN_TRANSP_TR_ANIMAL";"1.";"/*Tipo de veículo utilizado no transporte escolar -  Rodoviário (Tração Animal)*/";1;"0";123;"i";FALSE
124;"IN_TRANSP_OUTRO_VEICULO";"1.";"/*Tipo de veículo utilizado no transporte escolar -  Rodoviário (Outro tipo de veículo rodoviário)*/";1;"0";125;"i";FALSE
126;"IN_TRANSP_EMBAR_ATE5";"1.";"/*Tipo de veículo utilizado no transporte escolar Aquaviário/Embarcação (Capacidade de até 5 alunos)*/";1;"0";127;"i";FALSE
128;"IN_TRANSP_EMBAR_5A15";"1.";"/*Tipo de veículo utilizado no transporte escolar Aquaviário/Embarcação (Capacidade de 5 a 15 alunos)*/";1;"0";129;"i";FALSE
130;"IN_TRANSP_EMBAR_15A35";"1.";"/*Tipo de veículo utilizado no transporte escolar Aquaviário/Embarcação (Capacidade de 15 a 35 alunos)*/";1;"0";131;"i";FALSE
132;"IN_TRANSP_EMBAR_35";"1.";"/*Tipo de veículo utilizado no transporte escolar Aquaviário/Embarcação (Capacidade acima de 35 alunos)*/";1;"0";133;"i";FALSE
134;"IN_TRANSP_TREM_METRO";"1.";"/*Tipo de veículo utilizado no transporte escolar Ferroviário (Trem/Metrô)*/";1;"0";135;"i";FALSE
136;"IN_NECESSIDADE_ESPECIAL";"1.";"/*Aluno com deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação*/";1;"0";137;"i";FALSE
138;"IN_CEGUEIRA";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (cegueira)*/";1;"0";139;"i";FALSE
140;"IN_BAIXA_VISAO";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (baixa visão)*/";1;"0";141;"i";FALSE
142;"IN_SURDEZ";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (surdez)*/";1;"0";143;"i";FALSE
144;"IN_DEF_AUDITIVA";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (deficiência auditiva)*/";1;"0";145;"i";FALSE
146;"IN_SURDOCEGUEIRA";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (surdocegueira)*/";1;"0";147;"i";FALSE
148;"IN_DEF_FISICA";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (deficiência física)*/";1;"0";149;"i";FALSE
150;"IN_DEF_INTELECTUAL";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (deficiência intelectual)*/";1;"0";151;"i";FALSE
152;"IN_DEF_MULTIPLA";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (deficiência múltipla)*/";1;"0";153;"i";FALSE
154;"IN_AUTISMO";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (Autismo infantil)*/";1;"0";155;"i";FALSE
156;"IN_SINDROME_ASPERGER";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (Síndrome de Asperger)*/";1;"0";157;"i";FALSE
158;"IN_SINDROME_RETT";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (Síndrome de Rett)*/";1;"0";159;"i";FALSE
160;"IN_TRANSTORNO_DI";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (Transtorno desintegrativo da infância)*/";1;"0";161;"i";FALSE
162;"IN_SUPERDOTACAO";"1.";"/*Tipo de deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação (altas habilidades/superdotação)*/";1;"0";163;"i";FALSE
164;"IN_RECURSO_LEDOR";"1.";"/*Recursos necessários para a participação do aluno em avaliações do Inep (Prova Brasil, Saeb, outros) - Auxílio Ledor*/";1;"0";165;"i";FALSE
